id,player_fifa_api_id,player_api_id,date,potential,preferred_foot,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
1,21002,40002,########,91,Left,Low,Low,84,90,70,91,88,95,93,93,90,93,87,76,91,92,95,86,68,70,68,91,44,40,93,94,75,20,35,24,6,11,15,14,8
2,21003,40003,,91,Right,Medium,Medium,75,92,90,89,88,87,82,73,76,91,79,80,78,92,72,87,79,82,82,80,63,39,92,89,84,43,24,18,13,11,5,5,7
3,21004,40004,,91,Right,High,Medium,71,94,91,84,89,85,79,85,70,89,76,75,77,93,82,91,85,76,87,84,81,49,94,81,90,35,42,19,15,6,12,8,10
4,21005,40005,,91,Right,High,High,94,85,55,93,83,88,89,83,93,90,76,73,76,91,78,92,63,88,74,91,75,66,88,94,83,68,65,53,15,13,5,10,13
5,21006,40006,,95,Right,High,Low,78,93,72,85,83,93,80,69,71,91,97,97,93,93,81,88,77,87,76,82,64,38,92,83,80,26,34,32,13,5,7,11,6
6,21007,40007,,90,Left,High,Medium,80,93,59,84,84,90,84,69,77,88,89,91,90,93,91,83,69,87,75,85,63,55,92,85,86,38,43,41,14,14,9,11,14
7,21008,40008,,91,Left,Medium,Medium,14,14,13,33,12,13,19,20,35,23,42,52,63,84,45,56,68,38,70,17,23,15,13,44,27,20,18,16,84,89,75,89,90
8,21009,40009,,90,Right,Medium,Medium,15,13,25,60,11,30,14,11,68,46,54,60,51,87,35,68,77,43,80,16,29,30,12,70,47,17,10,11,87,88,91,91,88
9,21010,40010,,90,Right,High,Low,80,93,90,80,86,85,81,79,75,88,79,83,77,94,67,93,95,76,77,90,63,29,95,76,90,24,32,24,7,11,15,14,11
10,21011,40011,,90,Right,Medium,High,53,52,87,79,45,70,60,70,86,76,68,91,61,89,53,81,88,74,93,64,85,90,47,65,62,92,92,86,13,10,13,11,11
